COUNTY,POP_2025
Adams,21550
Asotin,22750
Benton,219625
Chelan,82900
Clallam,78650
Clark,542400
Columbia,3950
Cowlitz,114500
Douglas,45450
Ferry,7350
Franklin,103250
Garfield,2300
Grant,106250
Grays Harbor,77750
Island,88700
Jefferson,33825
King,2411700
Kitsap,288900
Kittitas,48950
Klickitat,23600
Lewis,85550
Lincoln,11250
Mason,67800
Okanogan,43400
Pacific,23950
Pend Oreille,13950
Pierce,959900
San Juan,18550
Skagit,134600
Skamania,12150
Snohomish,873800
Spokane,566000
Stevens,47800
Thurston,309100
Wahkiakum,4550
Walla Walla,63800
Whatcom,240500
Whitman,49450
Yakima,264650
